Estado,Sembrada_ha,Cosechada_ha,Año,Mes,Tipo_sequia,perdida_ha,producto
Tamaulipas,22950,5574,2004,5,NPS,17376,maiz
Veracruz de Ignacio de la Llave,198154,106415,2004,5,NPS,91739,maiz
Yucatán,1050,1050,2004,5,NPS,0,maiz
Baja California,2,2,2004,6,D1,0,maiz
Campeche,4728,2873,2004,6,D0,1855,maiz
Chiapas,99910,85541,2004,6,NPS,14369,maiz
Guerrero,811,811,2004,6,NPS,0,maiz
Hidalgo,23566,23566,2004,6,NPS,0,maiz
Jalisco,1247,1207,2004,6,NPS,40,maiz
Michoacán de Ocampo,118,8,2004,6,NPS,110,maiz
Nayarit,2550,2509,2004,6,D0,41,maiz
Nuevo León,4920,241,2004,6,NPS,4679,maiz
Oaxaca,53854,53709,2004,6,NPS,145,maiz
Puebla,23127,5608,2004,6,NPS,17519,maiz
Quintana Roo,5988,4385,2004,6,NPS,1603,maiz
San Luis Potosí,12804,12453,2004,6,NPS,351,maiz
Sinaloa,7814,7327,2004,6,NPS,487,maiz
Tabasco,42411,38177,2004,6,D0,4234,maiz
Tamaulipas,22950,5779,2004,6,NPS,17171,maiz
Veracruz de Ignacio de la Llave,198154,147973,2004,6,NPS,50181,maiz
Yucatán,1050,1050,2004,6,D0,0,maiz
Baja California,2,2,2004,7,D1,0,maiz
Campeche,4728,4513,2004,7,NPS,215,maiz
Chiapas,99910,95256,2004,7,NPS,4654,maiz
Guerrero,811,811,2004,7,NPS,0,maiz
Hidalgo,23566,23566,2004,7,NPS,0,maiz
Jalisco,1247,1207,2004,7,NPS,40,maiz
Michoacán de Ocampo,118,8,2004,7,NPS,110,maiz
Nayarit,2550,2544,2004,7,NPS,6,maiz
Nuevo León,4920,981,2004,7,NPS,3939,maiz
Oaxaca,53854,53709,2004,7,NPS,145,maiz
Puebla,23127,5717,2004,7,NPS,17410,maiz
Quintana Roo,5988,4385,2004,7,D0,1603,maiz
San Luis Potosí,12804,12453,2004,7,NPS,351,maiz
Sinaloa,7814,7527,2004,7,NPS,287,maiz
Tabasco,42411,40167,2004,7,D0,2244,maiz
Tamaulipas,22950,19761,2004,7,NPS,3189,maiz
Veracruz de Ignacio de la Llave,198159,186559,2004,7,NPS,11600,maiz
Yucatán,1050,1050,2004,7,NPS,0,maiz
Baja California,2,2,2004,8,D1,0,maiz
Campeche,4728,4513,2004,8,D0,215,maiz
Chiapas,99910,98515,2004,8,D0,1395,maiz
Guerrero,811,811,2004,8,NPS,0,maiz
Hidalgo,23566,23566,2004,8,NPS,0,maiz
Jalisco,1247,1247,2004,8,NPS,0,maiz
Michoacán de Ocampo,118,8,2004,8,NPS,110,maiz
Nayarit,2550,2544,2004,8,D0,6,maiz
Nuevo León,4920,1318,2004,8,NPS,3602,maiz
Oaxaca,53854,53709,2004,8,NPS,145,maiz
Puebla,23127,19829,2004,8,NPS,3298,maiz
Quintana Roo,5988,4385,2004,8,D0,1603,maiz
San Luis Potosí,12804,12453,2004,8,NPS,351,maiz
Sinaloa,7814,7527,2004,8,NPS,287,maiz
Tabasco,42411,40282,2004,8,D0,2129,maiz
Tamaulipas,22950,22824,2004,8,NPS,126,maiz
Veracruz de Ignacio de la Llave,198159,189799,2004,8,D0,8360,maiz
Yucatán,1050,1050,2004,8,NPS,0,maiz
Baja California,2,2,2004,9,D2,0,maiz
Campeche,4728,4513,2004,9,D0,215,maiz
Chiapas,99910,99456,2004,9,D1,454,maiz
Guerrero,811,811,2004,9,NPS,0,maiz
Hidalgo,23566,23566,2004,9,NPS,0,maiz
Jalisco,1247,1247,2004,9,NPS,0,maiz
Michoacán de Ocampo,118,118,2004,9,NPS,0,maiz
Nayarit,2550,2544,2004,9,D0,6,maiz
Nuevo León,4920,4772,2004,9,NPS,148,maiz
Oaxaca,53854,53709,2004,9,D1,145,maiz
Puebla,23127,20419,2004,9,NPS,2708,maiz
Quintana Roo,5988,4385,2004,9,D1,1603,maiz
San Luis Potosí,12804,12453,2004,9,NPS,351,maiz
Sinaloa,7814,7527,2004,9,NPS,287,maiz
Tabasco,42411,40282,2004,9,D1,2129,maiz
Tamaulipas,22950,22903,2004,9,NPS,47,maiz
Veracruz de Ignacio de la Llave,198159,192063,2004,9,D0,6096,maiz
Yucatán,1050,1050,2004,9,D0,0,maiz
Baja California,2,2,2004,12,NPS,0,maiz
Campeche,4728,4513,2004,12,D0,215,maiz
Chiapas,99910,99456,2004,12,D1,454,maiz
Guerrero,811,811,2004,12,NPS,0,maiz
Hidalgo,23566,23566,2004,12,NPS,0,maiz
Jalisco,1247,1247,2004,12,NPS,0,maiz
Michoacán de Ocampo,118,118,2004,12,NPS,0,maiz
Nayarit,2550,2544,2004,12,NPS,6,maiz
Nuevo León,4920,4772,2004,12,NPS,148,maiz
Oaxaca,53854,53709,2004,12,D0,145,maiz
Puebla,23127,20419,2004,12,NPS,2708,maiz
Quintana Roo,5988,4385,2004,12,D1,1603,maiz
San Luis Potosí,12804,12453,2004,12,NPS,351,maiz
Sinaloa,7814,7527,2004,12,NPS,287,maiz
Tabasco,42411,40282,2004,12,D1,2129,maiz
Tamaulipas,22950,22903,2004,12,NPS,47,maiz
Veracruz de Ignacio de la Llave,198159,192063,2004,12,D0,6096,maiz
Yucatán,1050,1050,2004,12,NPS,0,maiz
Oaxaca,49907,850,2005,1,D0,49057,maiz
Quintana Roo,5021,810,2005,1,D1,4211,maiz
Campeche,5854,1146,2005,2,D1,4708,maiz
Chiapas,91352,30,2005,2,D1,91322,maiz
Nayarit,3400,674,2005,2,NPS,2726,maiz
Oaxaca,52686,2039,2005,2,D0,50647,maiz
Quintana Roo,5021,1220,2005,2,D1,3801,maiz
Sinaloa,4536,1755,2005,2,NPS,2781,maiz
Veracruz de Ignacio de la Llave,170016,1458,2005,2,D1,168558,maiz
Campeche,5854,1775,2005,3,D1,4079,maiz
Chiapas,91352,8618,2005,3,D1,82734,maiz
Guerrero,1483,60,2005,3,NPS,1423,maiz
Jalisco,1213,297,2005,3,NPS,916,maiz
Nayarit,3400,1474,2005,3,NPS,1926,maiz
Oaxaca,52895,19568,2005,3,NPS,33327,maiz
Quintana Roo,5021,1311,2005,3,D1,3710,maiz
San Luis Potosí,11799,599,2005,3,NPS,11200,maiz
Sinaloa,4560,2455,2005,3,NPS,2105,maiz
Tamaulipas,9254,1360,2005,3,NPS,7894,maiz
Veracruz de Ignacio de la Llave,173870,28066,2005,3,D1,145804,maiz
Campeche,5854,3463,2005,4,D1,2391,maiz
Chiapas,96434,24251,2005,4,D1,72183,maiz
Guerrero,1483,1315,2005,4,NPS,168,maiz
Hidalgo,22569,6200,2005,4,NPS,16369,maiz
Jalisco,1213,812,2005,4,NPS,401,maiz
Nayarit,3400,1926,2005,4,NPS,1474,maiz
Oaxaca,52895,41343,2005,4,D0,11552,maiz
Quintana Roo,5021,1311,2005,4,D1,3710,maiz
San Luis Potosí,11799,2515,2005,4,NPS,9284,maiz
Sinaloa,4560,4000,2005,4,NPS,560,maiz
Tabasco,39517,11700,2005,4,D2,27817,maiz
Tamaulipas,10748,3980,2005,4,NPS,6768,maiz
Veracruz de Ignacio de la Llave,182644,58827,2005,4,D1,123817,maiz
Yucatán,1070,1050,2005,4,D0,20,maiz
Baja California,8,3,2005,5,NPS,5,maiz
Campeche,5854,4013,2005,5,D0,1841,maiz
Chiapas,96434,57355,2005,5,D1,39079,maiz
Chihuahua,20,7,2005,5,NPS,13,maiz
Guerrero,1483,1425,2005,5,NPS,58,maiz
Hidalgo,22569,14248,2005,5,NPS,8321,maiz
Jalisco,1213,1111,2005,5,D0,102,maiz
Nayarit,3400,2872,2005,5,NPS,528,maiz
Nuevo León,3662,1835,2005,5,NPS,1827,maiz
Oaxaca,52896,44010,2005,5,NPS,8886,maiz
Puebla,34179,1045,2005,5,NPS,33134,maiz
Quintana Roo,5021,4311,2005,5,D1,710,maiz
San Luis Potosí,11799,7452,2005,5,NPS,4347,maiz
Sinaloa,4560,4344,2005,5,NPS,216,maiz
Tabasco,39517,27296,2005,5,D2,12221,maiz
Tamaulipas,11221,4125,2005,5,NPS,7096,maiz
Veracruz de Ignacio de la Llave,182644,99907,2005,5,D1,82737,maiz
Yucatán,1070,1050,2005,5,D0,20,maiz
Baja California,8,3,2005,6,NPS,5,maiz
Campeche,5854,4013,2005,6,NPS,1841,maiz
Chiapas,96434,77051,2005,6,NPS,19383,maiz
Chihuahua,20,7,2005,6,NPS,13,maiz
Guerrero,1483,1433,2005,6,D0,50,maiz
Hidalgo,22569,20155,2005,6,NPS,2414,maiz
Jalisco,1213,1153,2005,6,D0,60,maiz
Nayarit,3400,3311,2005,6,NPS,89,maiz
Nuevo León,3662,1685,2005,6,NPS,1977,maiz
Oaxaca,52896,52727,2005,6,NPS,169,maiz
Puebla,34176,3592,2005,6,NPS,30584,maiz
Quintana Roo,5021,4811,2005,6,D0,210,maiz
San Luis Potosí,11799,9645,2005,6,NPS,2154,maiz
Sinaloa,4560,4466,2005,6,NPS,94,maiz
Tabasco,39517,28016,2005,6,D1,11501,maiz
Tamaulipas,11221,4245,2005,6,NPS,6976,maiz
Veracruz de Ignacio de la Llave,182644,135074,2005,6,D0,47570,maiz
Yucatán,1070,1060,2005,6,NPS,10,maiz
Baja California,8,3,2005,7,NPS,5,maiz
Campeche,5854,4013,2005,7,NPS,1841,maiz
Chiapas,96434,80706,2005,7,NPS,15728,maiz
Chihuahua,20,7,2005,7,NPS,13,maiz
Guerrero,1483,1483,2005,7,NPS,0,maiz
Hidalgo,22569,22569,2005,7,D0,0,maiz
Jalisco,1213,1153,2005,7,NPS,60,maiz
Nayarit,3400,3311,2005,7,D0,89,maiz
Nuevo León,3662,3324,2005,7,NPS,338,maiz
Oaxaca,52896,52862,2005,7,NPS,34,maiz
Puebla,34176,11298,2005,7,NPS,22878,maiz
Quintana Roo,5021,4811,2005,7,NPS,210,maiz
San Luis Potosí,11799,9645,2005,7,NPS,2154,maiz
Sinaloa,4560,4466,2005,7,NPS,94,maiz
Tabasco,39517,28016,2005,7,D0,11501,maiz
Tamaulipas,11221,5148,2005,7,NPS,6073,maiz
Veracruz de Ignacio de la Llave,182734,151849,2005,7,NPS,30885,maiz
Yucatán,1070,1070,2005,7,NPS,0,maiz
Baja California,5,3,2005,8,NPS,2,maiz
Campeche,5854,4013,2005,8,NPS,1841,maiz
Chiapas,96434,85914,2005,8,NPS,10520,maiz
Chihuahua,20,7,2005,8,NPS,13,maiz
Guerrero,1483,1483,2005,8,NPS,0,maiz
Hidalgo,22569,22569,2005,8,NPS,0,maiz
Jalisco,1213,1213,2005,8,NPS,0,maiz
Nayarit,3400,3311,2005,8,NPS,89,maiz
Nuevo León,3662,3332,2005,8,D0,330,maiz
Oaxaca,52896,52862,2005,8,NPS,34,maiz
Puebla,34176,11928,2005,8,NPS,22248,maiz
Quintana Roo,5021,4811,2005,8,D0,210,maiz
San Luis Potosí,11799,9645,2005,8,NPS,2154,maiz
Sinaloa,4560,4466,2005,8,NPS,94,maiz
Sonora,5,5,2005,8,NPS,0,maiz
Tabasco,39517,28016,2005,8,NPS,11501,maiz
Tamaulipas,11221,5692,2005,8,NPS,5529,maiz
Veracruz de Ignacio de la Llave,182734,157587,2005,8,NPS,25147,maiz
Yucatán,1070,1070,2005,8,NPS,0,maiz
Baja California,5,5,2005,9,NPS,0,maiz
Campeche,5854,4013,2005,9,NPS,1841,maiz
Chiapas,96434,92340,2005,9,NPS,4094,maiz
Chihuahua,20,7,2005,9,NPS,13,maiz
Guerrero,1483,1483,2005,9,NPS,0,maiz
Hidalgo,22569,22569,2005,9,NPS,0,maiz
Jalisco,1213,1213,2005,9,D0,0,maiz
Nayarit,3400,3311,2005,9,D0,89,maiz
Nuevo León,3662,3332,2005,9,D0,330,maiz
Oaxaca,52896,52862,2005,9,NPS,34,maiz
Puebla,34176,12028,2005,9,D0,22148,maiz
Quintana Roo,5021,4811,2005,9,NPS,210,maiz
San Luis Potosí,11799,9645,2005,9,NPS,2154,maiz
Sinaloa,4560,4466,2005,9,D0,94,maiz
Sonora,5,5,2005,9,NPS,0,maiz
Tabasco,39517,28016,2005,9,NPS,11501,maiz
Tamaulipas,11221,5852,2005,9,D0,5369,maiz
Veracruz de Ignacio de la Llave,182834,160332,2005,9,NPS,22502,maiz
Yucatán,1070,1070,2005,9,NPS,0,maiz
Baja California,5,5,2005,12,NPS,0,maiz
Campeche,5854,4013,2005,12,D0,1841,maiz
Chiapas,96434,92340,2005,12,NPS,4094,maiz
Chihuahua,20,7,2005,12,D0,13,maiz
Guerrero,1483,1483,2005,12,D0,0,maiz
Hidalgo,22569,22569,2005,12,D0,0,maiz
Jalisco,1213,1213,2005,12,D1,0,maiz
Nayarit,3400,3311,2005,12,D0,89,maiz
Nuevo León,3662,3332,2005,12,NPS,330,maiz
Oaxaca,52896,52862,2005,12,NPS,34,maiz
Puebla,34176,12028,2005,12,D0,22148,maiz
Quintana Roo,5021,4811,2005,12,NPS,210,maiz
San Luis Potosí,11799,9645,2005,12,D0,2154,maiz
Sinaloa,4560,4466,2005,12,D1,94,maiz
Sonora,5,5,2005,12,D0,0,maiz
Tabasco,39517,28016,2005,12,NPS,11501,maiz
Tamaulipas,11221,5852,2005,12,D0,5369,maiz
Veracruz de Ignacio de la Llave,182834,160332,2005,12,NPS,22502,maiz
Yucatán,1070,1070,2005,12,NPS,0,maiz
Oaxaca,40148,501,2006,1,D0,39647,maiz
Sinaloa,4403,1500,2006,1,D1,2903,maiz
Veracruz de Ignacio de la Llave,154604,20,2006,1,NPS,154584,maiz
Campeche,3160,220,2006,2,NPS,2940,maiz
Chiapas,96402,5260,2006,2,NPS,91142,maiz
Nayarit,2195,245,2006,2,D1,1950,maiz
Oaxaca,45690,20627,2006,2,D0,25063,maiz
Quintana Roo,4533,3189,2006,2,NPS,1344,maiz
Sinaloa,4442,368,2006,2,D3,4074,maiz
Veracruz de Ignacio de la Llave,180805,1340,2006,2,NPS,179465,maiz
Campeche,3160,220,2006,3,NPS,2940,maiz
Chiapas,96682,15958,2006,3,NPS,80724,maiz
Hidalgo,21875,1564,2006,3,D1,20311,maiz
Jalisco,1264,200,2006,3,D2,1064,maiz
Nayarit,2244,290,2006,3,D2,1954,maiz
Oaxaca,45866,23916,2006,3,NPS,21950,maiz
Quintana Roo,4533,3432,2006,3,NPS,1101,maiz
San Luis Potosí,11271,1128,2006,3,D0,10143,maiz
Sinaloa,4442,368,2006,3,D4,4074,maiz
Tabasco,35007,390,2006,3,NPS,34617,maiz
Veracruz de Ignacio de la Llave,181711,21654,2006,3,NPS,160057,maiz
Campeche,4950,4575,2006,4,NPS,375,maiz
Chiapas,96682,41082,2006,4,NPS,55600,maiz
Guerrero,1445,1427,2006,4,D1,18,maiz
Hidalgo,21875,11962,2006,4,D1,9913,maiz
Jalisco,1234,450,2006,4,D2,784,maiz
Nayarit,2244,916,2006,4,D2,1328,maiz
Oaxaca,45866,25802,2006,4,NPS,20064,maiz
Quintana Roo,4533,3432,2006,4,D0,1101,maiz
San Luis Potosí,11271,6320,2006,4,D0,4951,maiz
Sinaloa,4442,368,2006,4,D4,4074,maiz
Tabasco,39687,19910,2006,4,NPS,19777,maiz
Tamaulipas,7954,2629,2006,4,D0,5325,maiz
Veracruz de Ignacio de la Llave,183452,53954,2006,4,NPS,129498,maiz
Yucatán,768,753,2006,4,D0,15,maiz
Campeche,4950,4905,2006,5,NPS,45,maiz
Chiapas,96682,68552,2006,5,NPS,28130,maiz
Guerrero,1445,1445,2006,5,NPS,0,maiz
Hidalgo,21875,19970,2006,5,D0,1905,maiz
Jalisco,1234,1025,2006,5,D2,209,maiz
Nayarit,2256,1720,2006,5,D2,536,maiz
Oaxaca,45866,32500,2006,5,NPS,13366,maiz
Puebla,45117,1045,2006,5,D0,44072,maiz
Quintana Roo,4533,3432,2006,5,NPS,1101,maiz
San Luis Potosí,11271,10508,2006,5,NPS,763,maiz
Sinaloa,4442,3256,2006,5,D4,1186,maiz
Tabasco,39687,35296,2006,5,NPS,4391,maiz
Tamaulipas,7954,5289,2006,5,NPS,2665,maiz
Veracruz de Ignacio de la Llave,183452,101016,2006,5,NPS,82436,maiz
Yucatán,768,753,2006,5,NPS,15,maiz
Campeche,4950,4905,2006,6,NPS,45,maiz
Chiapas,96682,90046,2006,6,NPS,6636,maiz
Guerrero,1445,1445,2006,6,NPS,0,maiz
Hidalgo,21875,21465,2006,6,D0,410,maiz
Jalisco,1234,1025,2006,6,D2,209,maiz
Nayarit,2256,2252,2006,6,D3,4,maiz
Nuevo León,2047,40,2006,6,D1,2007,maiz
Oaxaca,45866,44864,2006,6,NPS,1002,maiz
Puebla,45117,5382,2006,6,D0,39735,maiz
Querétaro de Arteaga,20,20,2006,6,D1,0,maiz
Quintana Roo,4533,4533,2006,6,D0,0,maiz
San Luis Potosí,11271,10508,2006,6,D0,763,maiz
Sinaloa,4342,3386,2006,6,D4,956,maiz
Tabasco,39687,38077,2006,6,NPS,1610,maiz
Tamaulipas,7954,5620,2006,6,D0,2334,maiz
Veracruz de Ignacio de la Llave,184929,147173,2006,6,NPS,37756,maiz
Yucatán,768,753,2006,6,NPS,15,maiz
Campeche,4950,4905,2006,7,NPS,45,maiz
Chiapas,96682,93406,2006,7,NPS,3276,maiz
Guerrero,1445,1445,2006,7,NPS,0,maiz
Hidalgo,21875,21875,2006,7,D0,0,maiz
Jalisco,1234,1037,2006,7,D1,197,maiz
Nayarit,2256,2252,2006,7,D2,4,maiz
Nuevo León,2047,1410,2006,7,D1,637,maiz
Oaxaca,45866,45149,2006,7,NPS,717,maiz
Puebla,45117,12827,2006,7,D0,32290,maiz
Querétaro de Arteaga,20,20,2006,7,D0,0,maiz
Quintana Roo,4533,4533,2006,7,NPS,0,maiz
San Luis Potosí,11271,10508,2006,7,D0,763,maiz
Sinaloa,4342,3464,2006,7,D3,878,maiz
Tabasco,39687,38427,2006,7,NPS,1260,maiz
Tamaulipas,7954,6207,2006,7,D0,1747,maiz
Veracruz de Ignacio de la Llave,184929,174683,2006,7,NPS,10246,maiz
Yucatán,768,753,2006,7,D0,15,maiz
Campeche,4950,4905,2006,8,NPS,45,maiz
Chiapas,96682,95306,2006,8,NPS,1376,maiz
Guerrero,1445,1445,2006,8,NPS,0,maiz
Hidalgo,21875,21875,2006,8,NPS,0,maiz
Jalisco,1234,1234,2006,8,D0,0,maiz
Nayarit,2256,2252,2006,8,D1,4,maiz
Nuevo León,2047,1422,2006,8,D3,625,maiz
Oaxaca,45866,45149,2006,8,NPS,717,maiz
Puebla,45117,23472,2006,8,D0,21645,maiz
Querétaro de Arteaga,20,20,2006,8,NPS,0,maiz
Quintana Roo,4533,4533,2006,8,NPS,0,maiz
San Luis Potosí,11271,10508,2006,8,NPS,763,maiz
Sinaloa,4342,3464,2006,8,D1,878,maiz
Tabasco,39687,38427,2006,8,NPS,1260,maiz
Tamaulipas,7954,6292,2006,8,D0,1662,maiz
Veracruz de Ignacio de la Llave,184929,177463,2006,8,D1,7466,maiz
Yucatán,768,753,2006,8,NPS,15,maiz
Campeche,4950,4905,2006,9,D0,45,maiz
Chiapas,96682,95306,2006,9,D0,1376,maiz
Guerrero,1445,1445,2006,9,NPS,0,maiz
Hidalgo,21875,21875,2006,9,NPS,0,maiz
Jalisco,1234,1234,2006,9,D0,0,maiz
Nayarit,2256,2252,2006,9,D1,4,maiz
Nuevo León,2047,1422,2006,9,NPS,625,maiz
Oaxaca,45866,45149,2006,9,NPS,717,maiz
Puebla,33977,27707,2006,9,NPS,6270,maiz
Querétaro de Arteaga,20,20,2006,9,NPS,0,maiz
Quintana Roo,4533,4533,2006,9,NPS,0,maiz
San Luis Potosí,11271,10508,2006,9,NPS,763,maiz
Sinaloa,4342,3464,2006,9,NPS,878,maiz
Sonora,4,4,2006,9,NPS,0,maiz
Tabasco,39687,38427,2006,9,D0,1260,maiz
Tamaulipas,7954,6292,2006,9,D0,1662,maiz
Veracruz de Ignacio de la Llave,184929,177463,2006,9,NPS,7466,maiz
Yucatán,768,753,2006,9,D0,15,maiz
Campeche,4950,4905,2006,12,NPS,45,maiz
Chiapas,96682,95306,2006,12,NPS,1376,maiz
Guerrero,1445,1445,2006,12,NPS,0,maiz
Hidalgo,21875,21875,2006,12,NPS,0,maiz
Jalisco,1234,1234,2006,12,NPS,0,maiz
Nayarit,2256,2252,2006,12,D0,4,maiz
Nuevo León,2047,1422,2006,12,NPS,625,maiz
Oaxaca,45866,45149,2006,12,NPS,717,maiz
Puebla,33977,27707,2006,12,NPS,6270,maiz
Querétaro de Arteaga,20,20,2006,12,NPS,0,maiz
Quintana Roo,4533,4533,2006,12,NPS,0,maiz
San Luis Potosí,11271,10508,2006,12,NPS,763,maiz
Sinaloa,4342,3464,2006,12,NPS,878,maiz
Sonora,4,4,2006,12,D0,0,maiz
Tabasco,39687,38427,2006,12,NPS,1260,maiz
Tamaulipas,7954,6292,2006,12,NPS,1662,maiz
Veracruz de Ignacio de la Llave,184929,177463,2006,12,NPS,7466,maiz
Yucatán,768,753,2006,12,NPS,15,maiz
Quintana Roo,3321,1634,2007,1,D0,1687,maiz
Chiapas,100898,1624,2007,2,NPS,99274,maiz
Nayarit,2251,55,2007,2,D1,2196,maiz
Oaxaca,56082,26150,2007,2,NPS,29932,maiz
Quintana Roo,3332,3064,2007,2,D1,268,maiz
Sinaloa,4569,1437,2007,2,D0,3132,maiz
Tamaulipas,6605,570,2007,2,NPS,6035,maiz
Veracruz de Ignacio de la Llave,173612,371,2007,2,NPS,173241,maiz
Campeche,2922,910,2007,3,NPS,2012,maiz
Chiapas,100898,18568,2007,3,D0,82330,maiz
Guerrero,1542,596,2007,3,D1,946,maiz
Nayarit,2251,55,2007,3,D1,2196,maiz
Oaxaca,56082,30289,2007,3,NPS,25793,maiz
Quintana Roo,3332,3068,2007,3,NPS,264,maiz
Sinaloa,4628,1437,2007,3,D1,3191,maiz
Tabasco,37972,8348,2007,3,NPS,29624,maiz
Tamaulipas,6915,3200,2007,3,NPS,3715,maiz
Veracruz de Ignacio de la Llave,176053,18096,2007,3,NPS,157957,maiz
Yucatán,540,300,2007,3,NPS,240,maiz
Campeche,3062,1860,2007,4,D0,1202,maiz
Chiapas,100898,32472,2007,4,D2,68426,maiz
Guerrero,1542,1453,2007,4,NPS,89,maiz
Hidalgo,22505,13694,2007,4,NPS,8811,maiz
Jalisco,1168,588,2007,4,D2,580,maiz
Nayarit,2251,694,2007,4,D2,1557,maiz
Oaxaca,46518,39575,2007,4,D0,6943,maiz
Quintana Roo,3332,3068,2007,4,D2,264,maiz
Sinaloa,11328,8442,2007,4,D3,2886,maiz
Tabasco,39152,19810,2007,4,D0,19342,maiz
Tamaulipas,7115,5699,2007,4,NPS,1416,maiz
Veracruz de Ignacio de la Llave,170505,44471,2007,4,NPS,126034,maiz
Yucatán,540,520,2007,4,D1,20,maiz
Campeche,4662,4277,2007,5,D0,385,maiz
Chiapas,100730,72512,2007,5,D1,28218,maiz
Chihuahua,25,11,2007,5,NPS,14,maiz
Guerrero,1542,1542,2007,5,NPS,0,maiz
Hidalgo,22505,22243,2007,5,NPS,262,maiz
Jalisco,1168,1134,2007,5,D1,34,maiz
Michoacán de Ocampo,625,130,2007,5,NPS,495,maiz
Nayarit,2251,1936,2007,5,D1,315,maiz
Oaxaca,49253,47249,2007,5,NPS,2004,maiz
Puebla,24591,1100,2007,5,NPS,23491,maiz
Querétaro de Arteaga,15,15,2007,5,NPS,0,maiz
Quintana Roo,3332,3068,2007,5,D2,264,maiz
San Luis Potosí,10562,6107,2007,5,NPS,4455,maiz
Sinaloa,11328,9743,2007,5,D1,1585,maiz
Tabasco,39152,30225,2007,5,D1,8927,maiz
Tamaulipas,7315,6300,2007,5,NPS,1015,maiz
Veracruz de Ignacio de la Llave,170905,106502,2007,5,NPS,64403,maiz
Yucatán,540,529,2007,5,D2,11,maiz
Campeche,5062,4977,2007,6,D1,85,maiz
Chiapas,100730,96354,2007,6,D1,4376,maiz
Chihuahua,25,19,2007,6,NPS,6,maiz
Guerrero,1542,1542,2007,6,D0,0,maiz
Hidalgo,22505,22363,2007,6,NPS,142,maiz
Jalisco,1168,1168,2007,6,D3,0,maiz
Michoacán de Ocampo,625,300,2007,6,D1,325,maiz
Nayarit,2251,2163,2007,6,D1,88,maiz
Nuevo León,3869,164,2007,6,NPS,3705,maiz
Oaxaca,49253,49064,2007,6,D0,189,maiz
Puebla,24591,16429,2007,6,D0,8162,maiz
Querétaro de Arteaga,15,15,2007,6,NPS,0,maiz
Quintana Roo,3332,3068,2007,6,D2,264,maiz
San Luis Potosí,10562,10446,2007,6,NPS,116,maiz
Sinaloa,11328,9743,2007,6,D1,1585,maiz
Tabasco,39152,35382,2007,6,D2,3770,maiz
Tamaulipas,7315,6310,2007,6,NPS,1005,maiz
Veracruz de Ignacio de la Llave,170905,154518,2007,6,D0,16387,maiz
Yucatán,540,529,2007,6,D1,11,maiz
