ENTIDAD,Mes,Precipitacion,Año
COLIMA,3,0.5,2003
CHIAPAS,3,35.6,2003
CHIHUAHUA,3,0.8,2003
CIUDAD DE MÉXICO,3,14.0,2003
DURANGO,3,0.1,2003
GUANAJUATO,3,0.1,2003
GUERRERO,3,1.4,2003
HIDALGO,3,4.1,2003
JALISCO,3,0.1,2003
ESTADO DE MÉXICO,3,5.0,2003
MICHOACÁN,3,0.4,2003
MORELOS,3,6.1,2003
NAYARIT,3,0.0,2003
NUEVO LEÓN,3,13.8,2003
OAXACA,3,17.0,2003
PUEBLA,3,14.9,2003
QUERÉTARO,3,0.3,2003
QUINTANA ROO,3,41.0,2003
SAN LUIS POTOSÍ,3,7.2,2003
SINALOA,3,1.3,2003
SONORA,3,6.1,2003
TABASCO,3,64.7,2003
TAMAULIPAS,3,23.7,2003
TLAXCALA,3,10.3,2003
VERACRUZ,3,21.5,2003
YUCATÁN,3,56.2,2003
ZACATECAS,3,0.0,2003
AGUASCALIENTES,4,0.7,2003
BAJA CALIFORNIA,4,0.2,2003
BAJA CALIFORNIA SUR,4,0.2,2003
CAMPECHE,4,7.3,2003
COAHUILA,4,7.3,2003
COLIMA,4,0.0,2003
CHIAPAS,4,26.5,2003
CHIHUAHUA,4,3.4,2003
CIUDAD DE MÉXICO,4,16.8,2003
DURANGO,4,2.0,2003
GUANAJUATO,4,2.1,2003
GUERRERO,4,1.5,2003
HIDALGO,4,21.3,2003
JALISCO,4,0.4,2003
ESTADO DE MÉXICO,4,14.5,2003
MICHOACÁN,4,9.9,2003
MORELOS,4,0.8,2003
NAYARIT,4,0.0,2003
NUEVO LEÓN,4,18.1,2003
OAXACA,4,9.8,2003
PUEBLA,4,34.3,2003
QUERÉTARO,4,9.0,2003
QUINTANA ROO,4,26.6,2003
SAN LUIS POTOSÍ,4,20.3,2003
SINALOA,4,1.3,2003
SONORA,4,2.0,2003
TABASCO,4,22.6,2003
TAMAULIPAS,4,18.6,2003
TLAXCALA,4,34.6,2003
VERACRUZ,4,34.1,2003
YUCATÁN,4,28.7,2003
ZACATECAS,4,1.3,2003
AGUASCALIENTES,5,10.2,2003
BAJA CALIFORNIA,5,0.0,2003
BAJA CALIFORNIA SUR,5,0.0,2003
CAMPECHE,5,56.4,2003
COAHUILA,5,56.4,2003
COLIMA,5,2.9,2003
CHIAPAS,5,145.4,2003
CHIHUAHUA,5,11.0,2003
CIUDAD DE MÉXICO,5,17.0,2003
DURANGO,5,10.8,2003
GUANAJUATO,5,31.1,2003
GUERRERO,5,16.7,2003
HIDALGO,5,32.9,2003
JALISCO,5,11.4,2003
ESTADO DE MÉXICO,5,17.6,2003
MICHOACÁN,5,18.8,2003
MORELOS,5,24.2,2003
NAYARIT,5,0.0,2003
NUEVO LEÓN,5,68.3,2003
OAXACA,5,39.2,2003
PUEBLA,5,64.8,2003
QUERÉTARO,5,18.4,2003
QUINTANA ROO,5,67.0,2003
SAN LUIS POTOSÍ,5,39.3,2003
SINALOA,5,0.3,2003
SONORA,5,2.2,2003
TABASCO,5,120.9,2003
TAMAULIPAS,5,38.5,2003
TLAXCALA,5,56.8,2003
VERACRUZ,5,59.7,2003
YUCATÁN,5,40.0,2003
ZACATECAS,5,13.2,2003
AGUASCALIENTES,6,88.3,2003
BAJA CALIFORNIA,6,0.0,2003
BAJA CALIFORNIA SUR,6,0.0,2003
CAMPECHE,6,45.7,2003
COAHUILA,6,45.7,2003
COLIMA,6,190.0,2003
CHIAPAS,6,314.6,2003
CHIHUAHUA,6,36.4,2003
CIUDAD DE MÉXICO,6,194.7,2003
DURANGO,6,61.5,2003
GUANAJUATO,6,141.3,2003
GUERRERO,6,251.0,2003
HIDALGO,6,106.9,2003
JALISCO,6,150.9,2003
ESTADO DE MÉXICO,6,154.7,2003
MICHOACÁN,6,143.9,2003
MORELOS,6,260.2,2003
NAYARIT,6,85.8,2003
NUEVO LEÓN,6,79.4,2003
OAXACA,6,346.6,2003
PUEBLA,6,233.5,2003
QUERÉTARO,6,98.1,2003
QUINTANA ROO,6,346.5,2003
SAN LUIS POTOSÍ,6,60.7,2003
SINALOA,6,16.8,2003
SONORA,6,10.0,2003
TABASCO,6,217.4,2003
TAMAULIPAS,6,89.0,2003
TLAXCALA,6,176.3,2003
VERACRUZ,6,208.7,2003
YUCATÁN,6,175.8,2003
ZACATECAS,6,100.3,2003
AGUASCALIENTES,7,178.9,2003
BAJA CALIFORNIA,7,18.5,2003
BAJA CALIFORNIA SUR,7,18.5,2003
CAMPECHE,7,95.3,2003
COAHUILA,7,95.3,2003
COLIMA,7,125.8,2003
CHIAPAS,7,232.9,2003
CHIHUAHUA,7,94.1,2003
CIUDAD DE MÉXICO,7,146.4,2003
DURANGO,7,101.2,2003
GUANAJUATO,7,236.1,2003
GUERRERO,7,195.4,2003
HIDALGO,7,89.5,2003
JALISCO,7,192.5,2003
ESTADO DE MÉXICO,7,130.7,2003
MICHOACÁN,7,212.0,2003
MORELOS,7,127.2,2003
NAYARIT,7,212.9,2003
NUEVO LEÓN,7,68.7,2003
OAXACA,7,256.3,2003
PUEBLA,7,201.7,2003
QUERÉTARO,7,151.9,2003
QUINTANA ROO,7,154.1,2003
SAN LUIS POTOSÍ,7,135.0,2003
SINALOA,7,129.8,2003
SONORA,7,69.5,2003
TABASCO,7,143.5,2003
TAMAULIPAS,7,112.2,2003
TLAXCALA,7,59.1,2003
VERACRUZ,7,256.4,2003
YUCATÁN,7,122.5,2003
ZACATECAS,7,136.1,2003
AGUASCALIENTES,8,112.7,2003
BAJA CALIFORNIA,8,161.5,2003
BAJA CALIFORNIA SUR,8,161.5,2003
CAMPECHE,8,42.1,2003
COAHUILA,8,42.1,2003
COLIMA,8,153.1,2003
CHIAPAS,8,309.8,2003
CHIHUAHUA,8,73.8,2003
CIUDAD DE MÉXICO,8,146.2,2003
DURANGO,8,64.2,2003
GUANAJUATO,8,174.4,2003
GUERRERO,8,192.7,2003
HIDALGO,8,96.7,2003
JALISCO,8,134.4,2003
ESTADO DE MÉXICO,8,141.8,2003
MICHOACÁN,8,187.7,2003
MORELOS,8,206.1,2003
NAYARIT,8,244.7,2003
NUEVO LEÓN,8,80.2,2003
OAXACA,8,178.1,2003
PUEBLA,8,283.5,2003
QUERÉTARO,8,173.5,2003
QUINTANA ROO,8,169.5,2003
SAN LUIS POTOSÍ,8,124.3,2003
SINALOA,8,147.9,2003
SONORA,8,85.9,2003
TABASCO,8,270.5,2003
TAMAULIPAS,8,105.2,2003
TLAXCALA,8,101.5,2003
VERACRUZ,8,213.2,2003
YUCATÁN,8,132.4,2003
ZACATECAS,8,106.1,2003
AGUASCALIENTES,9,130.4,2003
BAJA CALIFORNIA,9,122.6,2003
BAJA CALIFORNIA SUR,9,122.6,2003
CAMPECHE,9,117.8,2003
COAHUILA,9,117.8,2003
COLIMA,9,183.1,2003
CHIAPAS,9,371.5,2003
CHIHUAHUA,9,47.7,2003
CIUDAD DE MÉXICO,9,163.5,2003
DURANGO,9,129.4,2003
GUANAJUATO,9,242.4,2003
GUERRERO,9,237.8,2003
HIDALGO,9,151.6,2003
JALISCO,9,171.0,2003
ESTADO DE MÉXICO,9,161.0,2003
MICHOACÁN,9,210.0,2003
MORELOS,9,326.0,2003
NAYARIT,9,413.7,2003
NUEVO LEÓN,9,228.1,2003
OAXACA,9,303.4,2003
PUEBLA,9,431.8,2003
QUERÉTARO,9,273.8,2003
QUINTANA ROO,9,194.7,2003
SAN LUIS POTOSÍ,9,253.0,2003
SINALOA,9,180.4,2003
SONORA,9,68.9,2003
TABASCO,9,234.9,2003
TAMAULIPAS,9,259.3,2003
TLAXCALA,9,108.0,2003
VERACRUZ,9,380.2,2003
YUCATÁN,9,99.3,2003
ZACATECAS,9,132.7,2003
AGUASCALIENTES,10,38.5,2003
BAJA CALIFORNIA,10,7.6,2003
BAJA CALIFORNIA SUR,10,7.6,2003
CAMPECHE,10,84.5,2003
COAHUILA,10,84.5,2003
COLIMA,10,221.0,2003
CHIAPAS,10,253.4,2003
CHIHUAHUA,10,67.6,2003
CIUDAD DE MÉXICO,10,56.2,2003
DURANGO,10,46.9,2003
GUANAJUATO,10,68.5,2003
GUERRERO,10,135.1,2003
HIDALGO,10,77.3,2003
JALISCO,10,66.0,2003
ESTADO DE MÉXICO,10,65.4,2003
MICHOACÁN,10,67.8,2003
MORELOS,10,128.4,2003
NAYARIT,10,53.1,2003
NUEVO LEÓN,10,140.3,2003
OAXACA,10,186.6,2003
PUEBLA,10,202.5,2003
QUERÉTARO,10,69.0,2003
QUINTANA ROO,10,238.9,2003
SAN LUIS POTOSÍ,10,168.7,2003
SINALOA,10,26.7,2003
SONORA,10,20.5,2003
TABASCO,10,331.0,2003
TAMAULIPAS,10,176.0,2003
TLAXCALA,10,59.5,2003
VERACRUZ,10,232.9,2003
YUCATÁN,10,111.9,2003
ZACATECAS,10,46.5,2003
AGUASCALIENTES,11,1.4,2003
BAJA CALIFORNIA,11,1.6,2003
BAJA CALIFORNIA SUR,11,1.6,2003
CAMPECHE,11,5.2,2003
COAHUILA,11,5.2,2003
COLIMA,11,0.0,2003
CHIAPAS,11,155.4,2003
CHIHUAHUA,11,4.4,2003
CIUDAD DE MÉXICO,11,11.3,2003
DURANGO,11,1.7,2003
GUANAJUATO,11,7.3,2003
GUERRERO,11,8.2,2003
HIDALGO,11,19.0,2003
JALISCO,11,4.9,2003
ESTADO DE MÉXICO,11,14.5,2003
MICHOACÁN,11,10.2,2003
MORELOS,11,20.6,2003
NAYARIT,11,0.0,2003
NUEVO LEÓN,11,17.7,2003
OAXACA,11,67.0,2003
PUEBLA,11,60.1,2003
QUERÉTARO,11,2.6,2003
QUINTANA ROO,11,127.9,2003
SAN LUIS POTOSÍ,11,24.6,2003
SINALOA,11,2.4,2003
SONORA,11,5.3,2003
TABASCO,11,436.5,2003
TAMAULIPAS,11,18.7,2003
TLAXCALA,11,10.4,2003
VERACRUZ,11,149.4,2003
YUCATÁN,11,52.2,2003
ZACATECAS,11,1.5,2003
AGUASCALIENTES,12,0.0,2003
BAJA CALIFORNIA,12,1.9,2003
BAJA CALIFORNIA SUR,12,1.9,2003
CAMPECHE,12,1.9,2003
COAHUILA,12,1.9,2003
COLIMA,12,0.0,2003
CHIAPAS,12,53.1,2003
CHIHUAHUA,12,0.0,2003
CIUDAD DE MÉXICO,12,0.1,2003
DURANGO,12,0.0,2003
GUANAJUATO,12,0.1,2003
GUERRERO,12,0.4,2003
HIDALGO,12,2.5,2003
JALISCO,12,0.0,2003
ESTADO DE MÉXICO,12,0.0,2003
MICHOACÁN,12,0.0,2003
MORELOS,12,0.0,2003
NAYARIT,12,0.0,2003
NUEVO LEÓN,12,15.4,2003
OAXACA,12,10.5,2003
PUEBLA,12,27.1,2003
QUERÉTARO,12,0.1,2003
QUINTANA ROO,12,46.5,2003
SAN LUIS POTOSÍ,12,10.3,2003
SINALOA,12,0.0,2003
SONORA,12,1.3,2003
TABASCO,12,119.4,2003
TAMAULIPAS,12,5.6,2003
TLAXCALA,12,0.5,2003
VERACRUZ,12,48.5,2003
YUCATÁN,12,16.3,2003
ZACATECAS,12,0.1,2003
AGUASCALIENTES,1,32.09789724040467,2004
BAJA CALIFORNIA,1,10.239099787268477,2004
BAJA CALIFORNIA SUR,1,37.44698726969883,2004
CAMPECHE,1,9.088167516523855,2004
COAHUILA,1,19.03253804213078,2004
COLIMA,1,41.563258366162046,2004
CHIAPAS,1,45.689250531768764,2004
CHIHUAHUA,1,38.39946256453434,2004
CIUDAD DE MÉXICO,1,25.490959912865677,2004
DURANGO,1,43.537585438337175,2004
GUANAJUATO,1,35.55373182960717,2004
GUERRERO,1,47.56027435280551,2004
HIDALGO,1,7.156503071155584,2004
JALISCO,1,33.44011475015285,2004
ESTADO DE MÉXICO,1,16.08759653046893,2004
MICHOACÁN,1,30.426236536136027,2004
MORELOS,1,26.645443483684204,2004
NAYARIT,1,70.53717232439733,2004
NUEVO LEÓN,1,14.166852902265097,2004
OAXACA,1,20.86740817543677,2004
PUEBLA,1,29.449252568971094,2004
QUERÉTARO,1,19.126867318675256,2004
QUINTANA ROO,1,8.6444188329742,2004
SAN LUIS POTOSÍ,1,18.555458658619028,2004
SINALOA,1,77.212755588673,2004
SONORA,1,33.814653401273276,2004
TABASCO,1,168.82214530754604,2004
TAMAULIPAS,1,30.495550921622662,2004
TLAXCALA,1,10.696481624557935,2004
VERACRUZ,1,44.582713092740434,2004
YUCATÁN,1,7.821850853934402,2004
ZACATECAS,1,34.03510881000066,2004
AGUASCALIENTES,2,1.413713750636956,2004
BAJA CALIFORNIA,2,82.28142309065183,2004
BAJA CALIFORNIA SUR,2,5.418008645425584,2004
CAMPECHE,2,62.4411176346512,2004
COAHUILA,2,15.639121933332893,2004
COLIMA,2,0.0,2004
CHIAPAS,2,42.34225885581404,2004
CHIHUAHUA,2,18.71017110853947,2004
CIUDAD DE MÉXICO,2,0.13717242696734427,2004
DURANGO,2,6.687072552356338,2004
GUANAJUATO,2,0.24277191198640968,2004
GUERRERO,2,0.0,2004
HIDALGO,2,3.5770874772589414,2004
JALISCO,2,0.32125187569580516,2004
ESTADO DE MÉXICO,2,0.01271663568766964,2004
MICHOACÁN,2,0.0,2004
MORELOS,2,0.0003767892055605819,2004
NAYARIT,2,2.044239740713823,2004
NUEVO LEÓN,2,12.216062424065761,2004
OAXACA,2,22.731144814841972,2004
PUEBLA,2,8.72614182867927,2004
QUERÉTARO,2,0.0,2004
QUINTANA ROO,2,52.696611090594544,2004
SAN LUIS POTOSÍ,2,5.129069884039903,2004
SINALOA,2,14.794583880489284,2004
SONORA,2,8.999379834075972,2004
TABASCO,2,108.60219518514788,2004
TAMAULIPAS,2,9.674157285777053,2004
TLAXCALA,2,1.2920101858672353,2004
VERACRUZ,2,28.13442169970737,2004
YUCATÁN,2,24.583790432436135,2004
ZACATECAS,2,2.7649393848270067,2004
AGUASCALIENTES,3,31.6,2004
BAJA CALIFORNIA,3,12.9,2004
BAJA CALIFORNIA SUR,3,4.4,2004
CAMPECHE,3,19.2,2004
COAHUILA,3,70.1,2004
COLIMA,3,3.0,2004
CHIAPAS,3,31.1,2004
CHIHUAHUA,3,36.5,2004
CIUDAD DE MÉXICO,3,23.0,2004
DURANGO,3,30.1,2004
GUANAJUATO,3,21.6,2004
GUERRERO,3,7.4,2004
HIDALGO,3,35.0,2004
JALISCO,3,9.9,2004
ESTADO DE MÉXICO,3,0.0,2004
MICHOACÁN,3,11.6,2004
MORELOS,3,4.3,2004
NAYARIT,3,0.3,2004
NUEVO LEÓN,3,85.3,2004
OAXACA,3,26.4,2004
PUEBLA,3,66.2,2004
QUERÉTARO,3,28.5,2004
QUINTANA ROO,3,62.0,2004
SAN LUIS POTOSÍ,3,0.0,2004
SINALOA,3,11.3,2004
SONORA,3,13.6,2004
TABASCO,3,85.2,2004
TAMAULIPAS,3,59.3,2004
TLAXCALA,3,33.4,2004
VERACRUZ,3,69.1,2004
YUCATÁN,3,11.2,2004
ZACATECAS,3,33.2,2004
AGUASCALIENTES,4,0.0,2004
BAJA CALIFORNIA,4,5.4,2004
BAJA CALIFORNIA SUR,4,0.0,2004
CAMPECHE,4,8.7,2004
COAHUILA,4,81.6,2004
COLIMA,4,0.0,2004
CHIAPAS,4,42.8,2004
CHIHUAHUA,4,25.5,2004
CIUDAD DE MÉXICO,4,18.9,2004
DURANGO,4,7.4,2004
GUANAJUATO,4,4.4,2004
GUERRERO,4,2.2,2004
HIDALGO,4,49.9,2004
JALISCO,4,0.2,2004
ESTADO DE MÉXICO,4,11.4,2004
MICHOACÁN,4,0.6,2004
MORELOS,4,5.4,2004
NAYARIT,4,0.0,2004
NUEVO LEÓN,4,123.9,2004
OAXACA,4,66.0,2004
PUEBLA,4,76.4,2004
QUERÉTARO,4,9.0,2004
QUINTANA ROO,4,55.4,2004
SAN LUIS POTOSÍ,4,33.6,2004
SINALOA,4,1.3,2004
SONORA,4,14.7,2004
TABASCO,4,122.6,2004
TAMAULIPAS,4,101.3,2004
TLAXCALA,4,45.9,2004
VERACRUZ,4,71.1,2004
YUCATÁN,4,69.9,2004
ZACATECAS,4,1.4,2004
AGUASCALIENTES,5,46.798591905265425,2004
BAJA CALIFORNIA,5,0.0,2004
BAJA CALIFORNIA SUR,5,0.0,2004
CAMPECHE,5,184.108874167845,2004
COAHUILA,5,25.093581306949066,2004
COLIMA,5,10.344554464794918,2004
CHIAPAS,5,193.80348291158373,2004
CHIHUAHUA,5,3.355206062135326,2004
CIUDAD DE MÉXICO,5,48.19301606555798,2004
DURANGO,5,9.079091898817417,2004
GUANAJUATO,5,61.69099635838414,2004
GUERRERO,5,107.44487021744307,2004
HIDALGO,5,59.70645015380363,2004
JALISCO,5,46.66994172837541,2004
ESTADO DE MÉXICO,5,60.41157763856186,2004
MICHOACÁN,5,57.49704805869061,2004
MORELOS,5,62.72165325378337,2004
NAYARIT,5,1.7255401405528905,2004
NUEVO LEÓN,5,27.730371936608755,2004
OAXACA,5,87.38503507294422,2004
PUEBLA,5,93.75103852480053,2004
QUERÉTARO,5,58.4134105331961,2004
QUINTANA ROO,5,115.17581756031458,2004
SAN LUIS POTOSÍ,5,84.55599556058408,2004
SINALOA,5,0.23095835581216978,2004
SONORA,5,2.611993133718436,2004
TABASCO,5,252.7503772642604,2004
TAMAULIPAS,5,76.7090236806861,2004
TLAXCALA,5,93.82511409410574,2004
VERACRUZ,5,143.3902513889023,2004
YUCATÁN,5,104.85379947988218,2004
ZACATECAS,5,38.62914621626234,2004
AGUASCALIENTES,6,216.3,2004
BAJA CALIFORNIA,6,0.0,2004
BAJA CALIFORNIA SUR,6,0.0,2004
CAMPECHE,6,118.4,2004
COAHUILA,6,85.6,2004
COLIMA,6,157.4,2004
CHIAPAS,6,250.2,2004
CHIHUAHUA,6,74.9,2004
CIUDAD DE MÉXICO,6,142.3,2004
DURANGO,6,78.9,2004
GUANAJUATO,6,199.8,2004
GUERRERO,6,216.9,2004
HIDALGO,6,159.9,2004
JALISCO,6,273.1,2004
ESTADO DE MÉXICO,6,176.9,2004
MICHOACÁN,6,206.8,2004
MORELOS,6,234.0,2004
NAYARIT,6,223.2,2004
NUEVO LEÓN,6,68.2,2004
OAXACA,6,262.7,2004
PUEBLA,6,218.5,2004
QUERÉTARO,6,181.3,2004
QUINTANA ROO,6,249.9,2004
SAN LUIS POTOSÍ,6,241.2,2004
SINALOA,6,47.5,2004
SONORA,6,12.3,2004
TABASCO,6,118.8,2004
TAMAULIPAS,6,179.5,2004
TLAXCALA,6,129.7,2004
VERACRUZ,6,226.8,2004
YUCATÁN,6,134.6,2004
ZACATECAS,6,164.7,2004
AGUASCALIENTES,7,128.8,2004
BAJA CALIFORNIA,7,0.0,2004
BAJA CALIFORNIA SUR,7,18.9,2004
CAMPECHE,7,196.2,2004
COAHUILA,7,46.8,2004
COLIMA,7,205.6,2004
CHIAPAS,7,249.1,2004
CHIHUAHUA,7,165.5,2004
CIUDAD DE MÉXICO,7,115.7,2004
DURANGO,7,136.4,2004
GUANAJUATO,7,131.3,2004
GUERRERO,7,177.2,2004
HIDALGO,7,78.3,2004
JALISCO,7,153.7,2004
ESTADO DE MÉXICO,7,119.8,2004
MICHOACÁN,7,155.0,2004
MORELOS,7,268.2,2004
NAYARIT,7,348.1,2004
NUEVO LEÓN,7,50.1,2004
OAXACA,7,219.6,2004
PUEBLA,7,187.1,2004
QUERÉTARO,7,117.4,2004
QUINTANA ROO,7,100.0,2004
SAN LUIS POTOSÍ,7,106.9,2004
SINALOA,7,187.5,2004
SONORA,7,152.3,2004
TABASCO,7,123.3,2004
TAMAULIPAS,7,44.7,2004
TLAXCALA,7,92.2,2004
VERACRUZ,7,144.2,2004
YUCATÁN,7,197.1,2004
ZACATECAS,7,102.3,2004
AGUASCALIENTES,8,94.0,2004
BAJA CALIFORNIA,8,1.4,2004
BAJA CALIFORNIA SUR,8,45.5,2004
CAMPECHE,8,160.7,2004
COAHUILA,8,77.1,2004
COLIMA,8,197.7,2004
CHIAPAS,8,195.7,2004
CHIHUAHUA,8,132.1,2004
CIUDAD DE MÉXICO,8,144.1,2004
DURANGO,8,130.3,2004
GUANAJUATO,8,166.3,2004
GUERRERO,8,220.4,2004
HIDALGO,8,96.6,2004
JALISCO,8,232.9,2004
ESTADO DE MÉXICO,8,155.6,2004
MICHOACÁN,8,186.7,2004
MORELOS,8,238.1,2004
NAYARIT,8,387.0,2004
NUEVO LEÓN,8,97.7,2004
OAXACA,8,233.6,2004
PUEBLA,8,212.3,2004
QUERÉTARO,8,94.6,2004
QUINTANA ROO,8,52.0,2004
SAN LUIS POTOSÍ,8,68.8,2004
SINALOA,8,198.4,2004
SONORA,8,103.1,2004
TABASCO,8,222.8,2004
TAMAULIPAS,8,61.4,2004
TLAXCALA,8,78.3,2004
VERACRUZ,8,200.9,2004
YUCATÁN,8,151.1,2004
ZACATECAS,8,126.4,2004
AGUASCALIENTES,9,137.4,2004
BAJA CALIFORNIA,9,0.0,2004
BAJA CALIFORNIA SUR,9,59.0,2004
CAMPECHE,9,211.2,2004
COAHUILA,9,74.5,2004
COLIMA,9,289.8,2004
CHIAPAS,9,310.8,2004
CHIHUAHUA,9,99.9,2004
CIUDAD DE MÉXICO,9,150.7,2004
DURANGO,9,140.1,2004
GUANAJUATO,9,205.5,2004
GUERRERO,9,196.6,2004
HIDALGO,9,55.1,2004
JALISCO,9,260.8,2004
ESTADO DE MÉXICO,9,133.6,2004
MICHOACÁN,9,192.6,2004
MORELOS,9,250.4,2004
NAYARIT,9,305.0,2004
NUEVO LEÓN,9,269.3,2004
OAXACA,9,195.7,2004
PUEBLA,9,232.3,2004
QUERÉTARO,9,146.3,2004
QUINTANA ROO,9,208.2,2004
SAN LUIS POTOSÍ,9,178.0,2004
SINALOA,9,155.9,2004
SONORA,9,156.9,2004
TABASCO,9,312.4,2004
TAMAULIPAS,9,130.5,2004
TLAXCALA,9,126.9,2004
VERACRUZ,9,204.1,2004
YUCATÁN,9,215.5,2004
ZACATECAS,9,161.8,2004
AGUASCALIENTES,10,22.0,2004
BAJA CALIFORNIA,10,147.9,2004
BAJA CALIFORNIA SUR,10,25.3,2004
CAMPECHE,10,159.2,2004
COAHUILA,10,38.8,2004
COLIMA,10,70.0,2004
CHIAPAS,10,235.2,2004
CHIHUAHUA,10,69.9,2004
CIUDAD DE MÉXICO,10,53.1,2004
DURANGO,10,26.9,2004
GUANAJUATO,10,42.1,2004
GUERRERO,10,162.9,2004
HIDALGO,10,72.5,2004
JALISCO,10,27.1,2004
ESTADO DE MÉXICO,10,70.8,2004
MICHOACÁN,10,66.8,2004
MORELOS,10,112.8,2004
NAYARIT,10,76.0,2004
NUEVO LEÓN,10,62.0,2004
OAXACA,10,174.0,2004
PUEBLA,10,145.1,2004
QUERÉTARO,10,39.2,2004
QUINTANA ROO,10,121.0,2004
SAN LUIS POTOSÍ,10,59.1,2004
SINALOA,10,104.2,2004
SONORA,10,46.6,2004
TABASCO,10,190.0,2004
TAMAULIPAS,10,53.4,2004
TLAXCALA,10,90.5,2004
VERACRUZ,10,210.8,2004
YUCATÁN,10,88.3,2004
ZACATECAS,10,19.2,2004
AGUASCALIENTES,11,0.8,2004
BAJA CALIFORNIA,11,16.7,2004
BAJA CALIFORNIA SUR,11,1.9,2004
CAMPECHE,11,76.7,2004
COAHUILA,11,58.4,2004
COLIMA,11,0.9,2004
CHIAPAS,11,69.1,2004
CHIHUAHUA,11,59.0,2004
CIUDAD DE MÉXICO,11,6.1,2004
DURANGO,11,33.2,2004
GUANAJUATO,11,1.9,2004
GUERRERO,11,4.0,2004
HIDALGO,11,8.0,2004
JALISCO,11,0.8,2004
ESTADO DE MÉXICO,11,4.9,2004
MICHOACÁN,11,0.3,2004
MORELOS,11,4.9,2004
NAYARIT,11,21.1,2004
NUEVO LEÓN,11,16.1,2004
OAXACA,11,17.1,2004
PUEBLA,11,14.5,2004
QUERÉTARO,11,1.3,2004
QUINTANA ROO,11,46.2,2004
SAN LUIS POTOSÍ,11,7.7,2004
SINALOA,11,61.2,2004
SONORA,11,19.1,2004
TABASCO,11,136.3,2004
TAMAULIPAS,11,15.0,2004
TLAXCALA,11,3.7,2004
VERACRUZ,11,81.4,2004
YUCATÁN,11,24.9,2004
ZACATECAS,11,2.5,2004
AGUASCALIENTES,12,0.1,2004
BAJA CALIFORNIA,12,80.7,2004
BAJA CALIFORNIA SUR,12,5.5,2004
CAMPECHE,12,19.3,2004
COAHUILA,12,1.5,2004
COLIMA,12,1.7,2004
CHIAPAS,12,48.0,2004
CHIHUAHUA,12,21.6,2004
CIUDAD DE MÉXICO,12,0.9,2004
DURANGO,12,2.1,2004
GUANAJUATO,12,7.5,2004
GUERRERO,12,1.6,2004
HIDALGO,12,3.7,2004
JALISCO,12,10.6,2004
ESTADO DE MÉXICO,12,1.6,2004
MICHOACÁN,12,8.4,2004
MORELOS,12,0.1,2004
NAYARIT,12,0.1,2004
NUEVO LEÓN,12,3.5,2004
OAXACA,12,14.6,2004
PUEBLA,12,18.0,2004
QUERÉTARO,12,3.4,2004
QUINTANA ROO,12,16.0,2004
SAN LUIS POTOSÍ,12,7.2,2004
SINALOA,12,12.6,2004
SONORA,12,9.7,2004
